Data,Produto,Categoria,Preço Unitário,Custo Unitário,Marca,Quantidade Vendida,Nome do Cliente,Cidade
2024-03-15,coca-cola,BEBIDAS,1.64,1.26,Tabajara,20,Théo Cavalcanti,São Caetano do Sul
2023-09-02,papel higiênico,HIGIENE,2.23,1.5,Linguini,15,Lunna Peixoto,Fortaleza
2023-11-22,vinho,BEBIDAS,6.34,3.63,Tuimara,1,Sr. Cauê Aragão,Tangamandapio
2023-08-25,creme dental,HIGIENE,9.75,6.4,Chanax,37,Emilly Teixeira,Campinas
2024-04-23,palito de dentes,UTILIDADES,6.05,3.09,Zedorama,30,Luiz Henrique Lopes,São Caetano do Sul
2023-07-02,durex,UTILIDADES,7.14,3.92,Tuimara,3,Isis Martins,Recife
2024-04-18,pimenta,ALIMENTOS,4.73,2.47,Tabajara,44,Maria Sophia Pacheco,São Sebastião do Paraíso
2023-09-21,calça,ROUPAS,9.65,5.41,Doofensmirts,50,José Miguel Jesus,Diadema
2023-07-28,conhaque,BEBIDAS,3.16,2.18,Tabajara,40,Allana Sousa,Belo Horizonte
2023-07-08,saia,ROUPAS,1.56,1.12,Tabajara,12,Benicio Andrade,Mauá
2024-02-09,sal,ALIMENTOS,8.14,5.47,Zedorama,49,Bryan Castro,Mauá
2024-04-25,cinto,ROUPAS,1.06,0.69,Tabajara,32,Benjamim Montenegro,Curitiba
2023-05-20,dúzia de banana,ALIMENTOS,5.29,3.89,Chanax,10,Ana Clara Cardoso,Tangamandapio
2023-12-04,desentupidor,UTILIDADES,8.68,5.53,Zedorama,29,Beatriz Ribeiro,Recife
2024-03-15,fita isolante,UTILIDADES,4.96,3.58,Doofensmirts,11,Diogo Câmara,Florianópolis
2023-08-15,escova de dentes,HIGIENE,4.76,3.45,Tabajara,16,Ana Sophia Pimenta,Rio de Janeiro
2024-01-22,fita isolante,UTILIDADES,6.22,4.42,Doofensmirts,23,Theodoro Moraes,Fortaleza
2023-05-14,conhaque,BEBIDAS,9.96,7.34,Tuimara,43,Ana Beatriz Lopes,São Paulo
2024-02-05,palito de dentes,UTILIDADES,9.1,5.84,Doofensmirts,6,Benjamin Nogueira,São Caetano do Sul
2024-01-30,sal,ALIMENTOS,4.0,3.12,Tuimara,23,Rafaela Oliveira,Campinas
2023-11-11,filé de tilápia 1kg,ALIMENTOS,2.51,1.66,Brown,49,Daniel Pires,Ribeirão Pires
2023-05-12,calcinha,ROUPAS,4.25,3.38,Brown,38,Pedro Gomes,Belo Horizonte
2023-10-17,calcinha,ROUPAS,9.93,5.79,Doofensmirts,22,Giovanna da Paz,Belo Horizonte
2023-09-04,panela,UTILIDADES,6.07,4.42,Chanax,5,Isis Machado,São Bernardo do Campo
2024-02-12,panela,UTILIDADES,8.19,5.79,Tabajara,7,Davi Almeida,São Bernardo do Campo
2023-09-24,desentupidor,UTILIDADES,2.73,1.7,Chanax,34,Nicolas Brito,São Sebastião do Paraíso
2023-08-27,creme dental,HIGIENE,7.22,5.27,Linguini,8,Dr. Anthony Gabriel Vasconcelos,Florianópolis
2023-12-18,shampoo,HIGIENE,8.81,6.24,Tabajara,35,Maria Flor Gonçalves,Tangamandapio
2023-12-28,sal,ALIMENTOS,3.82,3.0,Doofensmirts,2,Gael Henrique Pereira,São Sebastião do Paraíso
2023-11-14,palito de dentes,UTILIDADES,9.26,4.73,Chanax,9,Sr. Luiz Henrique Araújo,Santos
2024-03-03,bolacha pct 1kg,ALIMENTOS,8.71,5.63,Linguini,30,Yago Machado,Rio de Janeiro
2023-10-16,lâmpada,UTILIDADES,2.0,1.57,Tuimara,27,Maria Cecília Casa Grande,Guarulhos
2023-06-10,abacaxi,ALIMENTOS,8.65,5.98,Zedorama,26,Gael da Cunha,Porto Alegre
2023-09-06,sabonete,HIGIENE,8.43,6.05,Linguini,9,Sophia Montenegro,Ribeirão Pires
2023-11-03,vinho,BEBIDAS,3.04,1.82,Linguini,12,Raquel Lopes,Rio de Janeiro
2023-12-30,vinho,BEBIDAS,8.3,6.51,Doofensmirts,14,Augusto Barros,Santo André
2024-02-14,escova de dentes,HIGIENE,9.8,6.01,Brown,36,Luiz Fernando Mendes,São Bernardo do Campo
2023-09-24,sal,ALIMENTOS,6.1,4.77,Doofensmirts,32,Dra. Ester Cirino,Santo André
2024-01-07,fanta,BEBIDAS,1.34,0.97,Chanax,22,Bruno Oliveira,São Sebastião do Paraíso
2023-06-21,sabonete,HIGIENE,6.56,5.18,Brown,34,Maria Luiza Melo,Porto Alegre
2024-01-27,calcinha,ROUPAS,3.07,2.17,Tabajara,1,Joaquim Costela,Diadema
2024-03-20,panela,UTILIDADES,9.12,4.91,Tabajara,48,Ryan das Neves,São Caetano do Sul
2023-11-08,papel higiênico,HIGIENE,6.85,4.35,Doofensmirts,25,Isabel Montenegro,Florianópolis
2024-01-16,suco,BEBIDAS,3.48,2.24,Linguini,21,Thales das Neves,Mauá
2023-06-26,ralo de cozinha,UTILIDADES,2.23,1.47,Brown,2,Diego da Mota,Porto Alegre
2024-02-27,dúzia de banana,ALIMENTOS,1.85,1.1,Tuimara,43,Theo da Cunha,Florianópolis
2023-11-14,pimenta,ALIMENTOS,1.89,0.95,Doofensmirts,23,Vicente Câmara,Curitiba
2024-02-06,cueca,ROUPAS,2.5,1.59,Brown,37,Luiz Felipe da Rocha,Tangamandapio
2023-06-10,coca-cola,BEBIDAS,2.17,1.6,Tuimara,29,Maitê da Mota,São Sebastião do Paraíso
2023-05-18,ralo de cozinha,UTILIDADES,2.31,1.82,Chanax,23,Lucas Gabriel Leão,Santos
2023-04-30,suco,BEBIDAS,2.91,1.82,Chanax,50,Samuel Duarte,Tangamandapio
2024-01-18,coca-cola,BEBIDAS,3.48,2.31,Linguini,26,Ana Julia Moreira,Belo Horizonte
2023-08-23,palito de dentes,UTILIDADES,6.78,4.22,Linguini,17,Henry Gabriel Barbosa,Santos
2024-03-06,abacaxi,ALIMENTOS,1.8,1.04,Brown,38,Vitória Pacheco,Osasco
2024-01-20,panela,UTILIDADES,9.85,6.01,Tabajara,47,Allana Casa Grande,Santos
2023-09-19,barra chocolate 250gr,ALIMENTOS,1.56,1.16,Tuimara,26,Emanuella Melo,Tangamandapio
2023-12-14,cinto,ROUPAS,1.73,1.38,Doofensmirts,16,Henry Gabriel Gonçalves,Belo Horizonte
2023-10-22,calcinha,ROUPAS,8.23,5.99,Chanax,25,Dr. Davi Lucas Lima,Santos
2023-10-01,chinelo,ROUPAS,6.63,5.18,Doofensmirts,35,Luiz Henrique Araújo,Recife
2024-03-09,creme dental,HIGIENE,3.96,2.77,Doofensmirts,31,João Vitor Marques,Guarulhos
2024-01-24,shampoo,HIGIENE,1.88,1.05,Tuimara,27,Sr. Cauê Monteiro,Fortaleza
2024-03-10,sal,ALIMENTOS,9.02,5.48,Tuimara,6,Luan Camargo,Belo Horizonte
2023-10-05,café,ALIMENTOS,5.13,3.65,Doofensmirts,9,Anthony Costa,São Bernardo do Campo
2023-11-30,papel higiênico,HIGIENE,7.1,4.28,Doofensmirts,9,Pedro Lucas Sampaio,Santos
2024-03-08,coca-cola,BEBIDAS,3.59,2.8,Brown,19,Dom das Neves,Guarulhos
2023-12-11,sabonete,HIGIENE,2.95,1.79,Tabajara,43,Dra. Nina Farias,Fortaleza
2024-02-19,camisa,ROUPAS,6.16,4.5,Tuimara,19,Lucas Gabriel Jesus,Santos
2023-08-22,lâmpada,UTILIDADES,2.75,1.93,Zedorama,14,Vitória Moraes,São Paulo
2023-06-09,conhaque,BEBIDAS,3.54,2.75,Tabajara,13,Emanuella Alves,Rio de Janeiro
2023-05-05,creme dental,HIGIENE,4.11,3.02,Doofensmirts,28,Maitê da Conceição,São Bernardo do Campo
2023-09-07,sabonete,HIGIENE,2.04,1.4,Zedorama,4,Sr. Calebe Freitas,Santo André
2023-09-30,cerveja,BEBIDAS,3.21,1.67,Zedorama,27,Luiz Fernando Cassiano,Fortaleza
2024-01-03,chinelo,ROUPAS,5.63,4.13,Doofensmirts,6,Emanuelly Gomes,Rio de Janeiro
2023-12-20,chinelo,ROUPAS,4.54,3.01,Tuimara,22,Maria Helena Siqueira,Salvador
2023-10-27,calcinha,ROUPAS,8.46,4.96,Linguini,8,Gabriela Pastor,Florianópolis
2023-04-30,sal,ALIMENTOS,7.97,4.61,Tuimara,32,Sofia Caldeira,Recife
2023-07-09,cueca,ROUPAS,7.09,4.22,Tuimara,14,Maria Cecília Moraes,Florianópolis
2024-01-31,sabonete,HIGIENE,2.64,1.69,Tabajara,18,Srta. Lívia Barbosa,São Caetano do Sul
2024-04-01,vinho,BEBIDAS,8.22,5.45,Tabajara,2,Maria Sophia Gomes,Belo Horizonte
2023-08-20,fanta,BEBIDAS,8.38,4.98,Linguini,42,Sra. Melissa Cavalcanti,Belo Horizonte
2023-12-10,durex,UTILIDADES,2.45,1.75,Tuimara,13,Luiza Silveira,Recife
2024-01-29,creme dental,HIGIENE,9.91,6.14,Linguini,3,Josué Moura,Salvador
2024-02-26,saia,ROUPAS,9.73,5.2,Tuimara,24,Aylla Fonseca,Mauá
2024-02-26,shampoo,HIGIENE,7.5,4.97,Zedorama,29,Francisco Monteiro,Osasco
2024-02-14,fanta,BEBIDAS,3.35,2.46,Zedorama,46,Augusto da Paz,Curitiba
2024-02-29,conhaque,BEBIDAS,9.2,5.22,Brown,3,Luan Ferreira,São Paulo
2023-05-26,panela,UTILIDADES,6.12,3.75,Tabajara,30,Liz Ribeiro,Santos
2023-09-24,abacaxi,ALIMENTOS,3.23,1.94,Tabajara,7,Larissa Duarte,São Paulo
2024-02-09,sal,ALIMENTOS,2.59,2.07,Linguini,9,Maitê Gonçalves,São Caetano do Sul
2024-01-09,fanta,BEBIDAS,6.64,4.58,Tuimara,11,Enzo Macedo,São Caetano do Sul
2023-08-07,vinho,BEBIDAS,9.44,6.2,Tuimara,36,Cauã Mendes,São Paulo
2023-07-15,ralo de cozinha,UTILIDADES,6.3,4.43,Tabajara,46,Evelyn Pires,São Caetano do Sul
2024-03-22,chinelo,ROUPAS,2.14,1.45,Linguini,41,Thomas Nascimento,São Bernardo do Campo
2023-11-11,cueca,ROUPAS,9.92,7.76,Tabajara,4,José Pedro da Cunha,Ribeirão Pires
2023-12-10,calça,ROUPAS,8.37,4.91,Chanax,41,Letícia Pinto,São Sebastião do Paraíso
2024-01-04,panela,UTILIDADES,5.29,2.9,Doofensmirts,16,Breno da Paz,Guarulhos
2024-04-02,tomate,ALIMENTOS,1.29,0.74,Tabajara,49,Mariane Carvalho,Osasco
2024-03-25,pimenta,ALIMENTOS,8.46,5.27,Zedorama,4,Rafaela Cirino,Guarulhos
2024-01-16,vinho,BEBIDAS,4.95,2.75,Doofensmirts,15,Dom Borges,Osasco
2023-11-25,guardanapo,UTILIDADES,7.12,3.86,Brown,29,Vitória da Costa,Guarulhos
2023-12-13,calcinha,ROUPAS,4.93,2.98,Linguini,3,Luiz Miguel Melo,São Caetano do Sul
2023-10-31,panela,UTILIDADES,9.37,5.84,Linguini,29,Dra. Maria Júlia Souza,São Bernardo do Campo
2023-06-26,calça,ROUPAS,2.63,2.05,Linguini,26,Noah Azevedo,Santos
2023-06-16,barra chocolate 250gr,ALIMENTOS,7.68,5.33,Tuimara,15,Clara Vieira,São Sebastião do Paraíso
2023-08-14,pimenta,ALIMENTOS,9.97,7.23,Linguini,11,João Guilherme Fernandes,São Caetano do Sul
2023-05-24,papel higiênico,HIGIENE,3.91,2.06,Brown,14,Ana Vitória Lima,Porto Alegre
2023-07-26,suco,BEBIDAS,3.45,2.17,Chanax,12,Daniel Pires,Tangamandapio
2023-10-02,suco,BEBIDAS,6.04,3.25,Brown,30,Dr. Josué Sá,Rio de Janeiro
2024-03-20,abacaxi,ALIMENTOS,8.35,5.03,Zedorama,16,Gustavo Henrique Albuquerque,Porto Alegre
2023-11-25,panela,UTILIDADES,3.62,2.09,Chanax,7,Allana Correia,Santos
2023-09-10,desentupidor,UTILIDADES,6.48,3.82,Zedorama,10,Beatriz Barbosa,Fortaleza
2023-05-25,vinho,BEBIDAS,5.35,3.39,Zedorama,6,Davi da Rosa,Florianópolis
2023-12-14,shampoo,HIGIENE,5.35,3.7,Doofensmirts,33,Daniela das Neves,Mauá
2023-05-27,fanta,BEBIDAS,4.72,2.67,Doofensmirts,2,Sr. Cauã Marques,Curitiba
2024-04-18,shampoo,HIGIENE,1.67,1.0,Tuimara,28,Isis Oliveira,Santos
2024-04-17,guardanapo,UTILIDADES,6.09,4.55,Zedorama,12,Pedro Cassiano,São Caetano do Sul
2024-01-28,vinho,BEBIDAS,6.03,3.77,Tabajara,49,Sofia Brito,Osasco
2023-07-05,fanta,BEBIDAS,3.88,2.89,Zedorama,41,Gael Henrique Cirino,São Bernardo do Campo
2023-05-21,calça,ROUPAS,4.56,2.34,Zedorama,27,Dra. Valentina Teixeira,São Paulo
2023-05-06,dúzia de banana,ALIMENTOS,6.7,4.97,Zedorama,36,Theo Costa,Porto Alegre
2023-05-02,tomate,ALIMENTOS,3.32,1.96,Chanax,38,Ana Laura Leão,Rio de Janeiro
2023-12-30,suco,BEBIDAS,7.02,4.9,Brown,11,João Lucas Abreu,Curitiba
2023-10-28,saia,ROUPAS,3.78,2.85,Brown,26,Amanda Melo,Fortaleza
2023-09-19,ralo de cozinha,UTILIDADES,4.43,2.38,Tuimara,10,Calebe da Cruz,Salvador
2024-04-28,ralo de cozinha,UTILIDADES,1.65,0.85,Tuimara,12,Dra. Lorena Peixoto,Santos
2024-03-29,bolacha pct 1kg,ALIMENTOS,9.21,7.02,Zedorama,44,Yasmin das Neves,Guarulhos
2023-06-06,coca-cola,BEBIDAS,6.48,4.22,Brown,33,Maria Cavalcanti,Rio de Janeiro
2023-05-15,cesto de roupas,UTILIDADES,2.44,1.63,Zedorama,3,Calebe Nascimento,Curitiba
2024-01-15,camisa,ROUPAS,7.54,5.28,Brown,42,Emanuella Ferreira,Guarulhos
2023-05-13,cesto de roupas,UTILIDADES,2.25,1.45,Zedorama,6,Dr. Henry Peixoto,São Bernardo do Campo
2023-05-18,calcinha,ROUPAS,2.51,1.86,Chanax,18,Gustavo Henrique Moura,Salvador
2023-07-06,conhaque,BEBIDAS,7.66,4.92,Doofensmirts,26,Maria Flor Cavalcanti,Guarulhos
2023-08-13,escova de dentes,HIGIENE,2.19,1.45,Tuimara,4,Dra. Lara Novaes,Florianópolis
2023-08-29,cinto,ROUPAS,2.7,1.39,Doofensmirts,22,Sr. José da Mota,São Sebastião do Paraíso
2024-02-29,creme dental,HIGIENE,5.37,3.33,Tabajara,37,Oliver Siqueira,Santo André
2023-07-26,desentupidor,UTILIDADES,8.4,4.67,Tabajara,18,Júlia Camargo,Fortaleza
2023-06-25,bolacha pct 1kg,ALIMENTOS,1.06,0.61,Tabajara,44,Amanda Aragão,Tangamandapio
2024-01-05,arroz 1kg,ALIMENTOS,7.36,4.6,Linguini,36,Pietro da Mata,São Sebastião do Paraíso
2023-05-04,conhaque,BEBIDAS,3.22,2.16,Tuimara,33,Maysa Novaes,Curitiba
2023-06-12,escova de dentes,HIGIENE,2.58,1.66,Brown,23,Ana Júlia Montenegro,Osasco
2023-06-28,cinto,ROUPAS,9.97,7.77,Zedorama,23,Bryan Albuquerque,Santo André
2024-01-08,arroz 1kg,ALIMENTOS,8.95,5.08,Linguini,27,Sr. Théo Fonseca,Santo André
2024-01-24,desentupidor,UTILIDADES,8.79,6.32,Linguini,26,Nathan Machado,Belo Horizonte
2024-04-04,desentupidor,UTILIDADES,3.29,2.56,Tuimara,18,Maria Fernanda Nogueira,Ribeirão Pires
2024-02-01,pimenta,ALIMENTOS,9.9,5.54,Linguini,20,Srta. Maria Liz Barbosa,Tangamandapio
2023-09-02,filé de tilápia 1kg,ALIMENTOS,8.33,4.53,Chanax,37,Yan Pacheco,Fortaleza
2024-03-04,fanta,BEBIDAS,7.18,4.01,Tabajara,4,Mariana Alves,Curitiba
2023-05-04,arroz 1kg,ALIMENTOS,2.2,1.63,Zedorama,2,Benjamin Casa Grande,São Paulo
2023-11-03,saia,ROUPAS,7.54,5.61,Doofensmirts,1,Daniel Vargas,São Paulo
2023-12-03,filé de tilápia 1kg,ALIMENTOS,1.69,1.12,Linguini,10,Srta. Stephany Camargo,Recife
2023-12-25,conhaque,BEBIDAS,1.64,0.94,Doofensmirts,33,Mirella Viana,Recife
2024-01-28,ralo de cozinha,UTILIDADES,6.93,4.46,Doofensmirts,46,Cecilia da Paz,Rio de Janeiro
2023-06-24,guardanapo,UTILIDADES,6.09,4.42,Zedorama,13,Ana Lívia da Rocha,Tangamandapio
2023-09-14,arroz 1kg,ALIMENTOS,3.46,1.98,Doofensmirts,26,Isaque Siqueira,Guarulhos
2024-04-29,papel higiênico,HIGIENE,8.99,6.56,Chanax,24,Benicio Brito,Guarulhos
2023-05-28,fanta,BEBIDAS,8.25,6.51,Zedorama,47,Isabel da Rosa,Santo André
2023-09-08,cerveja,BEBIDAS,7.01,4.55,Doofensmirts,42,Valentina Araújo,Porto Alegre
2024-01-13,sabonete,HIGIENE,7.06,3.57,Tuimara,39,Sophia Leão,Salvador
2024-02-14,tomate,ALIMENTOS,6.38,3.43,Tabajara,18,Vitor Gabriel Costela,Campinas
2024-04-11,papel higiênico,HIGIENE,3.04,1.55,Tuimara,34,Eduardo da Cunha,São Caetano do Sul
2023-06-20,escova de dentes,HIGIENE,5.58,4.37,Doofensmirts,7,Sr. Leonardo Fonseca,São Caetano do Sul
2023-07-29,creme dental,HIGIENE,2.82,1.88,Tuimara,42,Guilherme Castro,São Paulo
2023-05-26,abacate,ALIMENTOS,4.21,2.38,Zedorama,25,Srta. Eloá Jesus,Ribeirão Pires
2023-10-30,cinto,ROUPAS,9.38,6.05,Linguini,17,Nina Cardoso,São Sebastião do Paraíso
2023-06-15,vinho,BEBIDAS,1.32,0.81,Doofensmirts,10,Dr. Ravy Garcia,São Sebastião do Paraíso
2023-08-31,guardanapo,UTILIDADES,4.56,2.7,Doofensmirts,32,João Miguel da Paz,Santo André
2023-05-12,sabonete,HIGIENE,5.31,4.0,Chanax,39,Sofia Teixeira,Santo André
2023-08-29,fanta,BEBIDAS,5.15,3.16,Tabajara,15,Matteo Ramos,Guarulhos
2023-07-12,arroz 1kg,ALIMENTOS,2.88,1.66,Tabajara,27,Ana Vitória Nogueira,Santo André
2023-10-01,barra chocolate 250gr,ALIMENTOS,3.74,2.06,Zedorama,32,Emanuel Andrade,Porto Alegre
2023-05-18,creme dental,HIGIENE,2.35,1.3,Linguini,14,Dante Sales,Tangamandapio
2024-02-27,lâmpada,UTILIDADES,3.72,2.42,Brown,25,Sra. Stella Vieira,Guarulhos
2023-09-24,palito de dentes,UTILIDADES,3.56,1.91,Tuimara,31,Maria Luísa Montenegro,Diadema
2023-04-30,limoneto,BEBIDAS,1.15,0.87,Brown,20,Stephany Jesus,Ribeirão Pires
2023-10-08,sabonete,HIGIENE,9.04,4.77,Linguini,25,Maria Clara Nogueira,São Paulo
2023-10-23,panela,UTILIDADES,6.29,4.19,Doofensmirts,26,Sr. Pietro Vasconcelos,Salvador
2023-06-23,saia,ROUPAS,8.19,5.74,Tuimara,2,Lorena da Mota,Fortaleza
2023-05-20,shampoo,HIGIENE,5.82,4.55,Tuimara,28,Sr. Davi Lucas Pereira,Osasco
2023-08-29,pimenta,ALIMENTOS,7.59,4.44,Tuimara,36,Dom Guerra,Fortaleza
2023-05-10,lâmpada,UTILIDADES,9.21,5.25,Tabajara,5,Sr. Théo Vieira,Florianópolis
2023-12-02,ralo de cozinha,UTILIDADES,9.52,4.8,Tuimara,27,Ravi Freitas,Curitiba
2023-07-08,papel higiênico,HIGIENE,5.13,2.77,Chanax,26,Isadora Sousa,Santos
2023-06-05,shampoo,HIGIENE,3.8,1.93,Chanax,14,Nicolas Campos,Tangamandapio
2024-02-09,escova de dentes,HIGIENE,3.43,2.09,Tuimara,45,Ian Borges,Recife
2024-01-09,sal,ALIMENTOS,8.38,5.26,Chanax,37,Vitor Hugo Costa,Salvador
2023-08-03,cesto de roupas,UTILIDADES,7.69,5.59,Doofensmirts,25,Dr. Luiz Otávio Mendes,Santos
2024-04-03,chinelo,ROUPAS,5.44,2.89,Doofensmirts,17,Bryan Correia,Porto Alegre
2023-08-15,escova de dentes,HIGIENE,9.5,6.97,Tabajara,50,Liam Borges,São Bernardo do Campo
2023-12-13,escova de dentes,HIGIENE,4.01,2.82,Linguini,46,Dra. Aylla Azevedo,Ribeirão Pires
2023-10-29,sabonete,HIGIENE,4.34,3.12,Doofensmirts,48,Eduardo Nunes,Rio de Janeiro
2024-04-12,pimenta,ALIMENTOS,3.46,1.8,Tuimara,11,Julia Freitas,Fortaleza
2024-01-02,camisa,ROUPAS,7.42,4.16,Chanax,14,Srta. Cecília Vargas,Guarulhos
2023-09-12,shampoo,HIGIENE,8.35,6.46,Tabajara,41,Sr. Ryan Rodrigues,São Bernardo do Campo
2023-05-03,sabonete,HIGIENE,9.47,7.24,Brown,46,Arthur Gabriel Moraes,Mauá
2023-05-20,suco,BEBIDAS,5.65,4.43,Brown,25,Pietro Abreu,Salvador
2024-04-28,coca-cola,BEBIDAS,1.18,0.72,Tuimara,2,Maitê Cardoso,Tangamandapio
2024-04-29,fita isolante,UTILIDADES,4.58,3.02,Chanax,23,Sr. Marcelo Cardoso,Salvador
2023-05-18,pimenta,ALIMENTOS,6.75,3.6,Doofensmirts,28,Gael Henrique Costa,Florianópolis
2023-11-20,barra chocolate 250gr,ALIMENTOS,5.04,3.58,Doofensmirts,29,Brenda da Mota,Curitiba
2023-08-15,shampoo,HIGIENE,1.55,1.16,Tabajara,32,Luigi Cavalcanti,Osasco
2023-12-16,café,ALIMENTOS,4.22,2.21,Brown,8,Henry Viana,São Caetano do Sul
2023-06-23,cerveja,BEBIDAS,2.17,1.64,Brown,31,Luiz Miguel Mendes,Tangamandapio
2023-06-11,creme dental,HIGIENE,3.95,2.0,Zedorama,28,Julia da Rocha,Curitiba
2023-11-03,barra chocolate 250gr,ALIMENTOS,5.26,3.91,Tuimara,12,Vitória Araújo,Ribeirão Pires
2024-02-11,vinho,BEBIDAS,6.85,4.98,Doofensmirts,31,Lunna Aragão,Fortaleza
2024-04-03,panela,UTILIDADES,8.83,6.14,Tuimara,46,Elisa Nogueira,Fortaleza
2023-12-02,ralo de cozinha,UTILIDADES,5.13,3.96,Chanax,16,Allana Lopes,Osasco
2023-06-28,dúzia de banana,ALIMENTOS,2.09,1.27,Doofensmirts,50,Daniel Moura,Recife
2023-07-07,desentupidor,UTILIDADES,9.91,7.14,Tabajara,5,Larissa Jesus,Recife
2023-10-20,sabonete,HIGIENE,1.58,1.12,Brown,13,Dr. Luiz Felipe Pereira,São Paulo
2023-06-04,abacaxi,ALIMENTOS,8.79,5.44,Chanax,7,Isabelly Pereira,Rio de Janeiro
2023-07-29,papel higiênico,HIGIENE,3.09,1.59,Tabajara,28,Bianca Sousa,São Paulo
2023-12-17,sabonete,HIGIENE,3.97,2.22,Doofensmirts,30,Matteo Casa Grande,Belo Horizonte
2024-04-04,shampoo,HIGIENE,9.97,6.18,Tabajara,22,Benício da Rocha,Guarulhos
2023-12-10,lâmpada,UTILIDADES,4.51,2.65,Linguini,16,Enrico Araújo,Rio de Janeiro
2023-08-06,sabonete,HIGIENE,5.71,3.72,Tabajara,29,Luiz Henrique Lopes,Santos
2023-10-16,conhaque,BEBIDAS,1.6,1.22,Tabajara,37,Dra. Maria Fernanda Novais,São Sebastião do Paraíso
2023-09-15,calcinha,ROUPAS,7.14,4.33,Linguini,13,Ravi Mendes,Porto Alegre
2024-04-05,vinho,BEBIDAS,7.23,5.14,Zedorama,30,Nathan Pacheco,Santo André
2023-06-01,cesto de roupas,UTILIDADES,8.14,6.01,Linguini,30,Ana Cecília Pimenta,São Caetano do Sul
2024-01-27,café,ALIMENTOS,9.81,7.76,Linguini,46,Dra. Jade Santos,Porto Alegre
2024-02-17,calça,ROUPAS,7.33,4.55,Doofensmirts,40,Lavínia Monteiro,São Paulo
2023-10-10,desentupidor,UTILIDADES,2.35,1.61,Doofensmirts,39,João Pedro Nascimento,São Paulo
2024-02-05,escova de dentes,HIGIENE,4.01,2.56,Brown,30,Srta. Cecília Rios,Osasco
2023-07-10,cerveja,BEBIDAS,4.49,3.22,Tuimara,25,Gael Vieira,Tangamandapio
2023-09-16,café,ALIMENTOS,9.49,7.52,Chanax,34,Bento Carvalho,Florianópolis
2024-03-08,calcinha,ROUPAS,3.44,1.78,Chanax,41,Laís Dias,São Bernardo do Campo
2023-05-14,cinto,ROUPAS,7.81,5.11,Brown,35,Kamilly Caldeira,Osasco
2024-02-05,lâmpada,UTILIDADES,7.93,5.32,Linguini,4,Pietra Moreira,São Caetano do Sul
2023-10-30,sal,ALIMENTOS,8.58,5.47,Doofensmirts,4,Dra. Sofia da Conceição,Ribeirão Pires
2024-04-29,ralo de cozinha,UTILIDADES,2.05,1.61,Brown,44,Theodoro Andrade,Ribeirão Pires
2023-06-02,papel higiênico,HIGIENE,2.5,1.49,Doofensmirts,20,Mariane Santos,Guarulhos
2023-09-21,sal,ALIMENTOS,8.5,4.48,Zedorama,9,Rebeca Rodrigues,São Caetano do Sul
2023-09-15,bolacha pct 1kg,ALIMENTOS,7.34,4.99,Doofensmirts,20,Dr. Ravy Abreu,São Caetano do Sul
2023-08-30,barra chocolate 250gr,ALIMENTOS,4.58,2.61,Doofensmirts,38,Ravi Lucca Costela,Diadema
2024-04-10,escova de dentes,HIGIENE,7.56,5.24,Doofensmirts,5,Vitor Hugo Caldeira,Santo André
2023-11-10,guardanapo,UTILIDADES,3.88,2.88,Linguini,42,Sra. Daniela Costela,São Caetano do Sul
