ID RH,Nome Completo,Estado Civil,Gênero,Data de Nascimento,Data de Contratação,Data de Demissão,Cargo,Salário,Área,Horas Extras,Avaliação
4401,Ryan Correia,Viúvo(a),feminino,02-07-1986,29-05-2020,,coordenador,3955.65,administrativo,33,7
7685,Alice Nunes,Divorciado(a),não informado,05-03-1996,30-09-2019,,estagiário,9593.38,operações,46,9
4334,Ian da Luz,Divorciado(a),não informado,27-03-1993,08-09-2019,,coordenador,4140.34,operações,40,0
3065,Carolina Pinto,Solteiro(a),masculino,19-07-2003,23-12-2020,,coordenador,8558.92,financeiro,100,5
2620,Sr. Marcelo Monteiro,Solteiro(a),masculino,27-08-1984,13-09-2021,,estagiário,5300.09,financeiro,46,5
2079,Enzo Campos,Casado(a),masculino,30-03-1965,12-02-2020,,gerente,3709.38,operações,30,1
3324,Thomas Araújo,Divorciado(a),não informado,12-01-1989,15-11-2022,,analista,7027.2,operações,8,8
7184,Maria Luiza Costela,Casado(a),não informado,27-06-1966,09-04-2023,,analista,6760.43,financeiro,70,1
4146,Luiz Otávio Rezende,Viúvo(a),masculino,29-08-1973,01-07-2020,,coordenador,9730.25,financeiro,68,3
2561,Pietra Martins,Divorciado(a),masculino,18-06-1994,08-02-2022,,coordenador,3957.13,financeiro,93,7
5158,João Felipe Campos,Viúvo(a),não informado,11-06-2001,25-08-2019,,estagiário,3104.32,logística,26,0
4336,Brenda da Cunha,Solteiro(a),não informado,09-02-1981,16-10-2020,,estagiário,5761.0,financeiro,91,3
8650,Dr. Rafael Castro,Casado(a),masculino,06-10-2004,28-07-2022,,coordenador,9520.53,administrativo,50,7
1730,Caroline da Mata,Casado(a),feminino,23-06-1967,22-12-2021,,estagiário,2183.77,administrativo,92,1
9327,Sra. Maysa Silveira,Solteiro(a),não informado,17-05-1992,19-09-2022,,estagiário,7567.46,logística,53,9
8275,Renan Rodrigues,Casado(a),masculino,29-04-1985,21-05-2021,,estagiário,8946.37,comercial,30,7
2522,Maria Fernanda Aragão,Viúvo(a),não informado,28-10-1966,20-07-2021,,coordenador,5999.67,financeiro,8,7
3034,Dra. Letícia Duarte,Viúvo(a),não informado,20-06-1988,10-03-2022,,gerente,3013.89,comercial,78,6
4835,Cauê Moreira,Casado(a),feminino,07-10-1973,18-06-2021,,coordenador,8617.25,financeiro,77,7
4398,Esther da Cruz,Viúvo(a),masculino,05-08-1996,13-02-2019,,gerente,8149.85,administrativo,44,3
8375,Isabel Moura,Solteiro(a),feminino,20-08-1993,27-09-2018,,coordenador,6948.1,financeiro,28,6
4478,Isis Viana,Viúvo(a),feminino,22-07-1997,31-07-2022,,gerente,9936.77,comercial,32,0
2281,Júlia Farias,Viúvo(a),feminino,13-06-1992,02-11-2022,,analista,6975.74,administrativo,32,9
1604,Thomas Souza,Divorciado(a),masculino,04-02-1988,20-11-2018,,coordenador,2811.26,operações,43,2
4892,Raul Rocha,Solteiro(a),não informado,01-03-1994,28-11-2019,,estagiário,9687.06,administrativo,38,4
5444,Evelyn Teixeira,Viúvo(a),masculino,18-11-1996,18-10-2018,,gerente,7323.02,administrativo,12,7
7446,Vitor Hugo Costela,Solteiro(a),feminino,10-04-1993,05-06-2018,,analista,9770.93,administrativo,21,0
7779,Heloísa Nogueira,Divorciado(a),feminino,26-09-1995,02-03-2021,,analista,2481.95,comercial,24,4
9594,Emanuelly Correia,Casado(a),feminino,28-08-1992,09-11-2020,,gerente,4408.09,comercial,12,3
5548,João Vitor Mendes,Casado(a),feminino,30-09-1994,02-05-2020,,estagiário,8565.24,financeiro,2,0
4985,Isabella da Paz,Solteiro(a),masculino,03-11-1998,26-11-2020,,coordenador,9855.81,administrativo,20,0
3174,Felipe Caldeira,Divorciado(a),não informado,31-05-1978,17-10-2019,,estagiário,7534.97,administrativo,14,3
5907,Arthur da Rosa,Solteiro(a),não informado,14-08-1986,22-05-2019,,coordenador,7271.32,administrativo,59,9
9280,Sra. Sophie Souza,Divorciado(a),masculino,01-02-1975,06-10-2019,,analista,9593.81,administrativo,50,7
9184,Brenda Porto,Viúvo(a),não informado,17-01-1970,15-06-2019,,analista,4600.8,administrativo,98,9
2983,Luna Freitas,Solteiro(a),não informado,05-04-1977,05-08-2018,,estagiário,9878.17,operações,92,8
9144,Mirella Cardoso,Viúvo(a),masculino,13-09-1985,01-04-2022,,analista,4599.55,financeiro,5,7
2539,Sra. Letícia Sales,Viúvo(a),masculino,28-03-1987,30-10-2021,,estagiário,6981.01,operações,72,10
5422,Maria Eduarda Gonçalves,Solteiro(a),masculino,16-10-2002,28-08-2022,,estagiário,9505.78,logística,53,10
9401,Eduarda da Mata,Casado(a),feminino,07-12-2004,16-05-2023,,estagiário,9475.64,administrativo,29,8
5667,Maria Alice Aragão,Solteiro(a),não informado,19-08-1974,27-08-2022,09-10-2022,estagiário,2905.15,comercial,67,6
9981,Melissa Viana,Viúvo(a),feminino,01-12-1976,26-01-2023,,estagiário,8577.61,operações,81,4
8174,Enrico Silva,Casado(a),não informado,09-04-2004,25-09-2018,,gerente,9803.45,logística,83,7
1464,André Silveira,Casado(a),não informado,14-12-1963,27-09-2022,,analista,5590.43,logística,66,3
9709,Davi Lucca Lima,Solteiro(a),feminino,14-05-1975,20-07-2022,,coordenador,3533.0,logística,55,3
9909,Maria Luiza Ferreira,Casado(a),não informado,05-06-2004,26-12-2018,,estagiário,8511.63,financeiro,96,6
1701,Laís Peixoto,Viúvo(a),masculino,24-06-1986,04-11-2020,,estagiário,6466.32,operações,66,7
9313,Arthur Barbosa,Viúvo(a),não informado,19-04-1979,06-08-2019,06-11-2022,analista,3887.99,comercial,19,0
4804,Alice Teixeira,Viúvo(a),masculino,11-11-1997,10-12-2022,,gerente,3902.01,operações,12,9
9186,Sophie Moraes,Solteiro(a),masculino,14-02-1978,16-06-2020,,analista,2699.19,logística,49,0
3426,Henrique Ferreira,Solteiro(a),não informado,08-05-1982,04-06-2018,,analista,2239.72,operações,8,8
1676,Sra. Juliana Ramos,Viúvo(a),feminino,16-09-1998,11-11-2021,,analista,8163.79,administrativo,39,9
3684,Rebeca das Neves,Divorciado(a),feminino,19-11-1981,08-02-2019,,estagiário,2800.29,comercial,40,0
9962,Larissa Santos,Divorciado(a),masculino,07-03-1967,20-07-2021,,analista,2265.73,comercial,71,6
9496,Anthony da Conceição,Viúvo(a),não informado,13-09-1998,06-12-2022,17-03-2023,gerente,7621.22,logística,29,6
3884,Guilherme Aragão,Solteiro(a),feminino,26-04-1982,12-10-2022,,gerente,8427.47,administrativo,62,3
3839,Nina Ramos,Solteiro(a),masculino,29-07-1973,25-11-2019,,analista,7845.51,administrativo,91,0
1738,Sr. Guilherme Costela,Solteiro(a),não informado,06-02-1978,07-05-2020,,gerente,8569.84,administrativo,70,2
8648,Diego Aragão,Casado(a),não informado,27-05-2004,26-11-2018,,analista,2637.01,operações,36,9
3976,Gustavo Henrique Sales,Divorciado(a),não informado,21-07-2003,17-05-2023,,gerente,9642.25,administrativo,96,4
8841,Yasmin Freitas,Divorciado(a),feminino,24-11-1966,29-11-2022,,estagiário,7564.13,logística,10,0
4595,Marcos Vinicius Pinto,Casado(a),feminino,31-07-1983,13-06-2018,,coordenador,3751.47,administrativo,21,2
9854,Amanda Fernandes,Divorciado(a),feminino,25-08-1987,04-08-2020,26-02-2023,gerente,7673.68,logística,7,5
7927,Eloah Campos,Divorciado(a),não informado,01-05-1997,28-05-2019,,analista,9130.8,financeiro,2,4
6255,Guilherme da Costa,Divorciado(a),não informado,04-01-2000,18-02-2022,,coordenador,2571.4,comercial,99,9
7338,Helena Barbosa,Casado(a),feminino,08-04-1980,19-02-2020,08-08-2022,coordenador,3383.34,logística,37,1
4637,Luigi Nascimento,Casado(a),feminino,11-12-1966,18-07-2020,,estagiário,5857.48,financeiro,13,10
3615,Dra. Letícia Vieira,Viúvo(a),masculino,26-10-1990,12-07-2018,,analista,6620.59,operações,89,8
4867,Dr. Renan Monteiro,Viúvo(a),não informado,18-09-1983,03-05-2020,,gerente,5421.73,logística,22,1
8384,Isabel da Paz,Solteiro(a),não informado,26-05-1978,27-06-2021,,estagiário,7568.64,financeiro,94,2
1672,Maria Clara Martins,Casado(a),não informado,19-10-1969,26-03-2023,,gerente,5860.61,administrativo,46,8
6432,Isabella Vieira,Divorciado(a),masculino,27-01-1983,16-01-2019,,gerente,7611.35,operações,9,5
1560,Sra. Ana Julia Viana,Casado(a),feminino,12-03-1983,11-12-2021,,gerente,4526.89,logística,36,4
7344,Yuri Correia,Solteiro(a),feminino,08-11-1973,12-07-2018,,gerente,5643.29,comercial,55,2
4377,Sr. Yuri Gomes,Solteiro(a),masculino,20-06-1973,06-03-2021,,coordenador,6098.65,administrativo,12,8
4202,Daniel Dias,Viúvo(a),feminino,26-03-1974,12-04-2022,30-08-2022,estagiário,5581.12,administrativo,1,5
1326,Dra. Ana Moraes,Viúvo(a),não informado,25-01-1970,16-07-2020,,estagiário,2181.72,logística,88,9
4457,João Pedro Farias,Casado(a),não informado,19-09-1998,17-08-2019,15-05-2023,coordenador,6291.03,logística,67,10
4547,Maria Araújo,Solteiro(a),feminino,19-06-1973,02-12-2021,,coordenador,5826.69,administrativo,39,7
7608,Mariane Martins,Viúvo(a),feminino,23-12-1997,04-06-2021,,analista,9339.02,financeiro,29,7
8411,Joana da Rosa,Divorciado(a),feminino,05-10-1992,11-07-2021,08-01-2023,gerente,3435.74,financeiro,74,7
1632,Sra. Luna Souza,Divorciado(a),não informado,13-12-1995,22-05-2022,,analista,3502.95,logística,37,4
6099,Dra. Ana Clara Freitas,Solteiro(a),não informado,12-11-1963,28-01-2020,19-01-2023,coordenador,5974.46,administrativo,45,8
3942,Heitor Correia,Divorciado(a),masculino,18-09-1976,23-01-2019,24-09-2022,gerente,6545.72,administrativo,25,1
4432,Ana Alves,Casado(a),masculino,06-02-1997,17-09-2020,,gerente,8962.3,comercial,62,10
5966,Isaac da Paz,Casado(a),masculino,09-02-1979,25-07-2021,,gerente,2426.24,logística,35,2
2783,Letícia Campos,Divorciado(a),não informado,26-04-1993,28-08-2021,,estagiário,3087.66,financeiro,39,10
7778,Dra. Milena Porto,Casado(a),não informado,09-06-1993,24-01-2020,,estagiário,8531.42,logística,68,6
3969,Marina Carvalho,Casado(a),feminino,21-09-1965,10-01-2022,,coordenador,5667.2,operações,64,1
3081,Isadora Ferreira,Solteiro(a),feminino,31-01-1967,08-09-2018,,coordenador,6214.27,operações,69,5
3279,Davi Luiz Caldeira,Solteiro(a),não informado,13-04-1983,19-11-2021,,estagiário,8766.86,comercial,85,9
9252,Mariana Costa,Casado(a),masculino,17-02-1973,17-08-2020,06-11-2022,estagiário,9299.45,financeiro,29,2
9310,Catarina das Neves,Viúvo(a),feminino,14-12-1973,16-02-2020,,coordenador,4692.82,comercial,16,0
9024,João Gabriel da Costa,Solteiro(a),não informado,17-04-1983,18-01-2022,,gerente,7232.05,logística,50,5
2167,Alexia da Luz,Casado(a),feminino,23-02-1968,04-02-2022,,analista,4456.18,administrativo,77,4
8114,Esther Barbosa,Divorciado(a),masculino,30-03-1989,28-11-2020,,analista,2265.68,financeiro,51,8
8138,Rafaela Jesus,Divorciado(a),não informado,18-11-1992,30-10-2020,,coordenador,3970.5,administrativo,61,4
8218,Eduarda Cunha,Viúvo(a),masculino,16-03-1991,14-09-2022,,estagiário,3710.24,operações,19,4
1726,Kevin Costa,Casado(a),não informado,11-08-2001,18-07-2018,03-04-2023,gerente,6644.57,logística,95,3
4790,Matheus da Paz,Divorciado(a),feminino,26-07-1981,23-12-2018,,gerente,7585.23,operações,17,4
5759,Sra. Júlia Castro,Casado(a),feminino,01-01-1970,13-07-2021,,estagiário,6841.59,financeiro,30,2
4725,Sra. Maria Fernanda Fogaça,Viúvo(a),não informado,13-10-1977,01-01-2020,,analista,8885.1,financeiro,34,0
9738,Nathan Moraes,Viúvo(a),não informado,08-03-2002,05-09-2018,,coordenador,5281.13,comercial,19,1
3206,Lucas Gabriel da Mota,Viúvo(a),masculino,23-06-1987,13-06-2018,,coordenador,2647.3,comercial,88,8
3458,Enrico Porto,Viúvo(a),não informado,01-01-1973,13-01-2022,,gerente,9790.31,financeiro,31,7
7213,Mirella Monteiro,Divorciado(a),masculino,20-02-1982,24-10-2019,,analista,7217.95,logística,52,2
5986,Gustavo Henrique Ribeiro,Casado(a),não informado,13-06-1970,22-07-2019,,analista,8336.62,administrativo,78,5
8456,Pietro Carvalho,Casado(a),feminino,14-07-1966,03-03-2020,,gerente,4765.4,comercial,56,5
3562,Giovanna Silveira,Solteiro(a),masculino,30-11-1980,19-11-2019,22-08-2022,estagiário,8359.35,operações,29,3
3116,Paulo Rezende,Casado(a),não informado,29-04-1966,01-06-2018,,coordenador,6669.37,operações,37,3
2008,Maria Luiza Jesus,Casado(a),feminino,06-05-1990,29-08-2019,,analista,6551.77,logística,84,10
3560,Caio Lima,Divorciado(a),feminino,21-06-1980,09-04-2021,,estagiário,6306.81,administrativo,29,2
1072,Kamilly Moura,Casado(a),não informado,17-12-1997,09-12-2018,,estagiário,4503.64,financeiro,20,6
2781,Paulo Fogaça,Divorciado(a),masculino,30-09-1979,02-10-2018,,analista,3354.0,comercial,5,0
2522,Maria Vitória Freitas,Solteiro(a),masculino,26-08-1994,28-11-2022,,estagiário,6423.53,operações,91,10
3624,Lívia Cavalcanti,Casado(a),feminino,26-03-1977,09-04-2020,,coordenador,2928.03,administrativo,98,10
8410,Heitor Castro,Viúvo(a),masculino,23-07-2002,17-04-2022,,estagiário,5740.54,operações,63,10
1489,Caroline Carvalho,Viúvo(a),masculino,06-08-1983,18-08-2020,,analista,2295.68,financeiro,94,9
6531,Mariane Oliveira,Casado(a),feminino,10-08-1966,07-10-2018,,analista,9338.02,operações,11,6
4434,Sr. Leandro Farias,Viúvo(a),feminino,11-02-1963,07-08-2020,,estagiário,4157.7,operações,47,3
5006,Levi da Mata,Solteiro(a),não informado,13-03-1988,30-06-2018,,estagiário,2500.39,administrativo,11,4
9122,Joaquim Lopes,Solteiro(a),não informado,15-10-1996,20-07-2022,,coordenador,3710.9,operações,20,6
6137,Emanuel Correia,Solteiro(a),masculino,17-02-1984,29-05-2020,,analista,2224.17,operações,5,3
8615,Dra. Júlia da Mata,Viúvo(a),não informado,14-10-1991,10-10-2018,,gerente,2783.64,administrativo,44,2
6028,Dra. Eloah Correia,Divorciado(a),masculino,22-08-1999,15-07-2019,,analista,7626.47,administrativo,70,7
9101,Natália Martins,Casado(a),feminino,22-10-1988,25-02-2023,,gerente,7331.03,comercial,71,3
8222,Alice Vieira,Casado(a),masculino,20-04-1966,19-02-2019,,estagiário,5257.11,logística,23,10
7462,Bruna Vieira,Divorciado(a),feminino,03-12-1974,17-04-2023,30-05-2022,gerente,6005.75,operações,43,1
1374,Ana Santos,Solteiro(a),masculino,12-02-1995,26-02-2022,,gerente,9102.99,operações,17,4
8367,Srta. Eduarda da Conceição,Divorciado(a),não informado,23-04-1966,19-09-2020,,gerente,3870.04,financeiro,78,5
7831,Davi da Mata,Solteiro(a),feminino,24-10-1966,14-08-2022,,estagiário,3159.43,administrativo,51,2
3492,Lucas Gabriel Almeida,Viúvo(a),não informado,17-03-2001,10-09-2018,,estagiário,7505.66,financeiro,40,2
3128,Thomas Costela,Divorciado(a),masculino,19-10-1965,23-02-2023,,estagiário,4026.75,administrativo,65,8
3441,Emanuella Lopes,Viúvo(a),masculino,20-09-1987,07-08-2019,,coordenador,8941.06,comercial,14,1
9045,Dr. Gustavo Henrique Cavalcanti,Viúvo(a),masculino,14-02-1967,05-09-2021,,coordenador,7635.11,comercial,2,4
2708,Eduarda Ribeiro,Solteiro(a),feminino,25-02-1977,06-07-2019,,analista,8055.22,logística,31,4
2631,Sr. Luigi Ferreira,Solteiro(a),masculino,02-04-1964,01-07-2021,,analista,8947.77,logística,89,1
6171,Isabelly Nogueira,Viúvo(a),feminino,17-06-1990,06-05-2021,,analista,3931.46,logística,83,2
5579,Dra. Nicole Alves,Divorciado(a),feminino,10-07-1988,09-06-2022,,analista,9414.51,comercial,62,7
8651,Emanuelly Melo,Viúvo(a),masculino,16-03-1991,23-03-2022,,gerente,2395.73,administrativo,25,10
9812,Sra. Sarah Pinto,Viúvo(a),não informado,04-01-1993,15-03-2022,,gerente,4942.61,administrativo,54,1
7326,Heitor Ferreira,Divorciado(a),não informado,19-11-1992,25-11-2019,,gerente,6143.5,administrativo,22,3
7914,Davi Luiz Freitas,Divorciado(a),masculino,23-04-1995,24-09-2022,,estagiário,5296.85,administrativo,8,1
6243,Yago Teixeira,Solteiro(a),masculino,08-04-2004,12-10-2019,,gerente,4352.77,comercial,6,4
4299,Nathan da Paz,Casado(a),feminino,06-04-1989,26-09-2020,,analista,2282.21,financeiro,76,9
1640,Dra. Alexia Pinto,Solteiro(a),masculino,27-12-1981,08-04-2020,,estagiário,5823.73,comercial,12,9
8708,Ana Luiza Rodrigues,Divorciado(a),feminino,19-03-1970,12-04-2019,,coordenador,6937.21,logística,50,2
8362,Luiza Dias,Divorciado(a),masculino,12-08-1996,30-08-2019,,gerente,8864.83,operações,45,9
8388,Nicolas Ramos,Divorciado(a),não informado,15-06-1967,01-09-2020,,analista,5795.34,logística,59,1
1948,Vicente Monteiro,Viúvo(a),feminino,24-07-1972,01-07-2020,,gerente,5402.31,logística,7,7
5942,Isadora Vieira,Divorciado(a),masculino,15-08-1971,11-07-2021,,coordenador,7195.76,operações,53,5
5105,Brenda Vieira,Casado(a),feminino,09-06-1969,25-02-2019,,gerente,9469.51,comercial,97,9
5840,Davi Lucca Barros,Casado(a),não informado,06-11-1985,04-10-2021,,analista,3179.73,financeiro,81,4
9473,Dra. Sofia Correia,Divorciado(a),masculino,26-10-2003,23-06-2020,,gerente,2326.41,financeiro,17,2
1379,Sr. Caio da Paz,Divorciado(a),masculino,29-03-1967,24-12-2021,,gerente,9963.42,logística,73,4
8609,Dra. Nina Ribeiro,Viúvo(a),feminino,24-02-1992,02-04-2019,,analista,8543.53,operações,83,7
3429,Maria Fernanda da Mota,Viúvo(a),masculino,01-04-1963,30-12-2020,,coordenador,4266.82,logística,10,10
7270,Davi Porto,Solteiro(a),feminino,28-01-1972,27-09-2020,,analista,4750.31,financeiro,5,7
8519,Miguel Duarte,Divorciado(a),masculino,14-06-1980,22-12-2022,20-12-2022,gerente,6718.69,comercial,21,3
7013,Mariane Souza,Viúvo(a),feminino,09-07-1964,28-10-2021,,coordenador,6045.63,operações,14,9
5406,Luana Porto,Casado(a),masculino,06-07-1987,19-07-2022,,gerente,8429.9,financeiro,55,4
9715,Henrique da Costa,Casado(a),não informado,08-07-2001,22-10-2022,,coordenador,6132.72,financeiro,45,1
8068,Sr. Pedro Henrique Teixeira,Casado(a),masculino,20-10-1985,11-12-2019,,analista,3822.38,operações,59,8
3189,Caio Vieira,Viúvo(a),masculino,26-01-1979,26-06-2019,,analista,4644.02,logística,77,6
3491,Dra. Ana Lívia Melo,Divorciado(a),masculino,14-09-1985,23-11-2018,,coordenador,4297.43,comercial,34,10
9492,Dra. Ana Laura da Mata,Viúvo(a),não informado,13-04-1966,06-07-2019,11-07-2022,analista,5144.22,comercial,42,4
7046,Lavínia da Paz,Divorciado(a),feminino,12-03-1970,19-06-2021,,analista,9178.93,financeiro,83,2
2594,Dra. Camila Novaes,Viúvo(a),não informado,18-04-2004,04-04-2020,,analista,9891.11,administrativo,31,6
1451,Lívia Fogaça,Solteiro(a),masculino,25-12-1966,17-02-2022,,estagiário,8677.95,comercial,32,8
8687,Bryan Aragão,Solteiro(a),feminino,25-11-1996,22-02-2020,,coordenador,5211.7,operações,42,6
9239,Agatha Nascimento,Casado(a),não informado,14-10-1993,10-06-2018,,gerente,2084.9,comercial,64,1
3305,Dr. Gabriel Moreira,Divorciado(a),masculino,17-07-1964,06-04-2021,,estagiário,4728.08,logística,7,4
3328,Matheus Oliveira,Solteiro(a),masculino,16-07-1979,21-01-2019,,analista,5695.2,financeiro,16,2
1086,Helena Moreira,Divorciado(a),não informado,03-06-2003,16-04-2022,,coordenador,6319.91,administrativo,4,7
3850,Nicolas Silveira,Viúvo(a),não informado,08-05-1972,27-04-2019,,gerente,9820.47,comercial,1,7
8557,Emilly Teixeira,Casado(a),feminino,06-02-1991,10-11-2022,,estagiário,4295.24,comercial,94,2
8503,Stella da Luz,Solteiro(a),não informado,07-01-1977,01-09-2018,,gerente,2653.1,administrativo,66,7
2871,Dr. Henrique Oliveira,Casado(a),não informado,01-07-2004,19-12-2019,,estagiário,2462.79,operações,52,0
4122,Heitor Azevedo,Casado(a),não informado,09-07-1972,13-07-2022,,coordenador,5017.52,administrativo,26,7
9915,Dra. Beatriz Sales,Casado(a),masculino,09-12-1978,09-12-2022,,analista,7834.16,administrativo,23,2
8975,Dra. Ana Vitória Aragão,Casado(a),não informado,31-10-1988,02-04-2020,,analista,8973.72,administrativo,6,1
3827,Laura Costa,Solteiro(a),feminino,28-07-1983,02-03-2021,,analista,7228.88,logística,87,0
5738,Ana Sophia Freitas,Viúvo(a),não informado,16-04-1991,12-07-2018,,analista,4995.86,logística,2,9
6299,Maria Clara da Conceição,Solteiro(a),feminino,24-03-1984,11-04-2022,,estagiário,5527.52,comercial,46,7
3270,Sr. Davi Lucca Freitas,Divorciado(a),masculino,13-12-1991,24-05-2019,,analista,9119.03,logística,77,8
6194,Nicolas Pereira,Divorciado(a),feminino,02-04-1983,02-12-2021,,estagiário,9215.75,administrativo,21,9
9128,Raquel Nunes,Divorciado(a),feminino,16-06-1970,23-06-2021,,coordenador,5721.56,financeiro,13,1
6704,Samuel Lopes,Divorciado(a),feminino,14-12-1966,13-12-2022,,analista,5429.49,administrativo,38,3
1333,Isabel da Costa,Viúvo(a),feminino,14-01-1985,20-07-2020,,analista,9555.21,logística,76,7
1524,Leandro Vieira,Solteiro(a),feminino,29-11-1982,27-06-2020,,estagiário,3954.2,administrativo,88,4
1260,Agatha Silveira,Viúvo(a),feminino,08-08-1990,30-05-2020,,coordenador,6313.65,financeiro,34,7
1259,Melissa da Rosa,Viúvo(a),feminino,25-10-1966,23-05-2022,,analista,8425.44,logística,81,10
5703,Letícia Nogueira,Casado(a),masculino,08-04-1982,27-02-2020,,coordenador,6494.76,comercial,51,9
5416,Vinicius da Mata,Casado(a),masculino,26-11-1983,19-12-2019,,coordenador,9419.95,administrativo,70,5
3842,Marcos Vinicius Fogaça,Solteiro(a),feminino,13-04-1995,10-09-2021,,estagiário,4239.19,comercial,64,9
6748,Alana Araújo,Casado(a),masculino,24-07-1980,14-02-2022,,estagiário,8959.4,logística,81,5
6315,Evelyn Araújo,Solteiro(a),feminino,02-03-1997,07-10-2022,,coordenador,9537.49,logística,53,8
9910,Calebe Rodrigues,Casado(a),não informado,03-07-1977,27-08-2021,,estagiário,2750.82,financeiro,24,6
4969,Enzo da Cunha,Solteiro(a),masculino,01-11-1969,25-01-2022,,gerente,3195.19,financeiro,88,2
7741,Dra. Valentina da Conceição,Casado(a),feminino,16-11-1994,07-02-2020,,gerente,7405.15,comercial,52,3
7727,Giovanna Cunha,Casado(a),feminino,14-12-1969,23-03-2022,,estagiário,6366.4,comercial,46,7
6362,Srta. Ana Luiza Castro,Casado(a),feminino,05-12-1979,09-05-2020,,analista,9445.94,operações,19,4
1182,Rafael Araújo,Viúvo(a),feminino,30-12-1997,16-05-2022,,analista,9783.22,logística,98,5
8153,Murilo Costela,Casado(a),não informado,05-06-1981,13-08-2018,,gerente,3373.68,operações,99,8
3221,Srta. Ana Vitória Silva,Solteiro(a),feminino,30-03-2000,10-04-2021,23-03-2023,gerente,9230.14,financeiro,51,0
1710,Igor Sales,Divorciado(a),não informado,16-12-1963,24-08-2018,,coordenador,9530.88,administrativo,68,7
1766,Mariana Teixeira,Divorciado(a),feminino,27-11-1972,03-04-2022,,gerente,3446.34,logística,3,9
4222,Igor Carvalho,Viúvo(a),masculino,18-02-1992,26-05-2022,,analista,9903.36,comercial,96,3
